iter	Passed	Remaining
0	2	2322
1	4	2256
2	5	1983
3	7	1872
4	8	1739
5	9	1656
6	11	1604
7	12	1568
8	13	1539
9	15	1517
10	16	1519
11	19	1595
12	21	1594
13	22	1590
14	24	1585
15	25	1574
16	27	1579
17	28	1565
18	30	1554
19	31	1561
20	33	1570
21	35	1579
22	37	1576
23	38	1569
24	40	1565
25	41	1560
26	43	1552
27	44	1541
28	46	1545
29	48	1556
30	49	1562
31	51	1561
32	53	1557
33	54	1553
34	56	1546
35	57	1543
36	59	1539
37	60	1536
38	62	1536
39	64	1555
40	66	1559
41	68	1558
42	69	1553
43	71	1547
44	72	1544
45	74	1538
46	75	1531
47	77	1527
48	78	1527
49	80	1528
50	82	1527
51	83	1523
52	85	1520
53	86	1517
54	88	1512
55	89	1507
56	90	1502
57	92	1497
58	93	1497
59	95	1498
60	97	1495
61	98	1492
62	100	1489
63	101	1487
64	103	1485
65	104	1481
66	106	1476
67	107	1471
68	109	1472
69	110	1474
70	112	1472
71	114	1471
72	116	1474
73	117	1472
74	119	1470
75	120	1466
76	122	1463
77	123	1463
78	125	1463
79	127	1463
80	129	1466
81	130	1464
82	132	1461
83	133	1461
84	135	1457
85	136	1454
86	138	1450
87	139	1450
88	141	1452
89	143	1450
90	144	1448
91	146	1445
92	147	1443
93	149	1440
94	150	1437
95	152	1434
96	153	1430
97	155	1432
98	157	1433
99	159	1431
100	160	1429
101	161	1425
102	163	1421
103	164	1418
104	166	1415
105	167	1412
106	168	1409
107	170	1410
108	172	1410
109	174	1408
110	175	1407
111	177	1405
112	178	1403
113	180	1400
114	181	1397
115	183	1396
116	185	1396
117	187	1398
118	188	1396
119	190	1394
120	191	1391
121	192	1388
122	194	1385
123	195	1382
124	197	1382
125	198	1379
126	200	1381
127	202	1382
128	204	1380
129	206	1380
130	207	1377
131	209	1375
132	211	1376
133	212	1375
134	214	1373
135	216	1374
136	218	1376
137	220	1377
138	222	1376
139	223	1374
140	225	1373
141	226	1370
142	228	1368
143	229	1366
144	232	1370
145	234	1371
146	236	1370
147	237	1368
148	239	1367
149	241	1365
150	242	1363
151	243	1360
152	245	1357
153	247	1358
154	249	1358
155	251	1358
156	252	1358
157	254	1356
158	256	1355
159	257	1353
160	259	1350
161	260	1348
162	263	1352
163	265	1352
164	267	1352
165	269	1351
166	270	1349
167	272	1348
